,"GNN
scratch","GNN pretrained
(no PFAS)","GNN pretrained
+ fine-tuned","Random
forest"
PCBA-1030,0.4519230769230769,0.9903846153846153,0.9326923076923077,0.5673076923076923
PCBA-1461,0.4897959183673469,0.5918367346938775,0.564625850340136,0.4387755102040816
PCBA-1468,0.9237288135593221,0.75,0.7161016949152542,0.8940677966101696
PCBA-1688,0.9464285714285714,0.5714285714285714,0.5535714285714286,0.6875
PCBA-2546,0.8779342723004695,0.9765258215962441,0.971830985915493,0.9460093896713615
PCBA-2551,0.8869565217391304,0.8985507246376812,0.927536231884058,0.8420289855072464
PCBA-504332,0.12328767123287672,0.7077625570776256,0.7123287671232876,0.5547945205479452
PCBA-504339,0.7297297297297297,0.7702702702702703,0.9864864864864865,0.8986486486486486
PCBA-504444,0.10377358490566035,0.9245283018867925,0.9339622641509434,0.7216981132075472
PCBA-504467,,,,
PCBA-540276,0.6936936936936937,0.8288288288288289,0.7567567567567567,0.7522522522522521
PCBA-588855,0.736842105263158,0.7675438596491229,0.7280701754385965,0.8048245614035088
PCBA-624288,0.9863013698630136,0.8904109589041096,0.9726027397260274,0.9863013698630136
PCBA-624296,0.7142857142857142,0.5740740740740741,0.58994708994709,0.5013227513227514
PCBA-624417,0.6888888888888889,0.6711111111111112,0.6311111111111112,0.6533333333333333
PCBA-651635,0.8161290322580645,0.9935483870967742,0.9451612903225807,0.9483870967741935
PCBA-686970,0.984375,0.625,0.6510416666666666,0.7005208333333333
PCBA-686978,0.7734877734877735,0.839124839124839,0.8223938223938224,0.7316602316602316
PCBA-686979,0.7522464698331194,0.7817715019255456,0.7535301668806161,0.7137355584082156
PCBA-720504,,,,
PCBA-720579,0.9468085106382979,0.925531914893617,0.9148936170212766,0.8191489361702128
PCBA-720580,0.8153846153846154,0.7961538461538462,0.7538461538461539,0.9788461538461538
PCBA-883,,,,
PCBA-884,,,,
PCBA-891,,,,
PCBA-938,0.7777777777777778,0.8888888888888888,0.8333333333333334,1.0
