任务,n,AUC
PCBA-1030,59,0.5
PCBA-1461,48,0.574
PCBA-1468,58,0.861
PCBA-1688,46,0.597
PCBA-2546,67,0.805
PCBA-2551,67,0.763
PCBA-504332,67,0.523
PCBA-504339,74,0.761
PCBA-504444,59,0.947
PCBA-504467,53,0.843
PCBA-540276,42,0.56
PCBA-588855,67,0.834
PCBA-624288,68,0.955
PCBA-624296,58,0.867
PCBA-624417,64,0.956
PCBA-651635,71,0.894
PCBA-686970,66,0.979
PCBA-686978,73,0.862
PCBA-686979,74,0.882
PCBA-720504,78,0.375
PCBA-720579,49,0.721
PCBA-720580,51,0.74
PCBA-883,12,0.55
PCBA-938,20,0.895
